tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.546,99.706,6,4,2
มาบตาพุด,Maptaphut,ระยอง,Rayong,12.646,101.171,115,55,60
มาบตาพุด,Maptaphut,ระยอง,Rayong,12.645,101.17,115,55,60
มาบตาพุด,Maptaphut,ระยอง,Rayong,12.649,101.174,115,55,60
มาบตาพุด,Maptaphut,ระยอง,Rayong,12.644,101.169,115,55,60
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.459,99.403,7,3,4
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.291,99.241,6,3,3
ท่าตูม,ThaTum,มหาสารคาม,Maha Sarakham,16.162,103.484,1,1,0
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.708,99.675,246,128,118
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.796,99.713,246,128,118
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.677,99.659,246,128,118
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.611,100.889,146,103,43
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.611,100.889,85,51,34
ตะเสะ,Tase,ตรัง,Trang,7.033,99.449,4,2,2
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.477,99.369,7,3,4
ปากคลอง,PakKhlong,ชุมพร,Chumphon,10.862,99.486,1,1,0
ปากตะโก,PakTako,ชุมพร,Chumphon,10.165,99.176,3,2,1
ปากคลอง,PakKhlong,ชุมพร,Chumphon,10.8,99.538,1,1,0
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.672,99.844,6,4,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.767,99.668,246,128,118
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.466,99.359,7,3,4
ปากตะโก,PakTako,ชุมพร,Chumphon,10.131,99.165,3,2,1
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.705,99.799,6,4,2
ตะเสะ,Tase,ตรัง,Trang,6.984,99.473,4,2,2
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.197,99.221,6,3,3
ปากตะโก,PakTako,ชุมพร,Chumphon,10.118,99.216,3,2,1
ตะเสะ,Tase,ตรัง,Trang,7.067,99.398,4,2,2
ปากคลอง,PakKhlong,ชุมพร,Chumphon,10.782,99.53,1,1,0
บางกะไชย,BangKachai,จันทบุรี,Chanthaburi,12.465,102.066,18,12,6
ตะเสะ,Tase,ตรัง,Trang,7.016,99.445,4,2,2
ปากคลอง,PakKhlong,ชุมพร,Chumphon,10.84,99.497,1,1,0
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.71,99.794,6,4,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.707,99.676,246,128,118
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,9.406,97.901,163,67,96
แสมสาร,SamaeSan,ชลบุรี,Chon Buri,12.616,100.918,70,38,32
ตะเสะ,Tase,ตรัง,Trang,7.075,99.451,4,2,2
เกาะหมาก,KoMak,ตราด,Trat,11.817,102.397,12,7,5
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.551,99.694,246,128,118
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.582,99.719,6,4,2
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,9.495,97.874,163,67,96
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.551,99.35,6,4,2
เกาะหมาก,KoMak,ตราด,Trat,11.805,102.376,12,7,5
เกาะหมาก,KoMak,ตราด,Trat,11.857,102.525,12,7,5
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.681,99.677,246,128,118
กำพวน,Kamphuan,ระนอง,Ranong,9.401,98.392,201,110,91
เกาะนก,,ตรัง,Trang,7.272,99.475,,,
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.31,99.66,31,21,10
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.31,99.66,61,29,32
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.247,99.249,6,3,3
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.699,99.68,246,128,118
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.675,99.833,6,4,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.709,99.676,246,128,118
เกาะหมาก,KoMak,ตราด,Trat,11.815,102.398,12,7,5
เกาะหมาก,KoMak,ตราด,Trat,11.819,102.402,12,7,5
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.696,99.662,246,128,118
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.542,99.164,6,4,2
เกาะหมาก,KoMak,ตราด,Trat,11.858,102.523,12,7,5
เกาะลิบง,KoLibong,ตรัง,Trang,7.303,99.394,5,3,2
เกาะแก้ว,KoKaeo,ภูเก็ต,Phuket,7.924,98.455,107,81,26
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.222,99.243,6,3,3
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.524,99.269,6,4,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.706,99.675,246,128,118
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.661,99.659,246,128,118
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,9.472,97.876,163,67,96
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.486,99.418,7,3,4
กำพวน,Kamphuan,ระนอง,Ranong,9.5,98.374,201,110,91
เกาะหมาก,KoMak,ตราด,Trat,11.808,102.378,12,7,5
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.515,99.174,6,4,2
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.506,99.425,7,3,4
ไม้ฝาด,MaiFat,ตรัง,Trang,7.47,99.32,12,7,5
ศรีราชา,SiRacha,ชลบุรี,Chon Buri,13.174,100.92,89,53,36
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.681,99.667,246,128,118
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.349,99.295,7,3,4
เขาทอง,KhaoThong,กระบี่,Krabi,8.049,98.676,32,19,13
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.485,99.366,6,4,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.655,99.876,6,4,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.676,99.664,246,128,118
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.208,99.249,6,3,3
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.351,99.72,31,21,10
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.351,99.72,61,29,32
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.704,99.871,6,4,2
ปากน้ำ,PakNam,ชุมพร,Chumphon,10.448,99.253,16,10,6
ปากน้ำ,PakNam,ชุมพร,Chumphon,10.448,99.253,62,37,25
ตะเสะ,Tase,ตรัง,Trang,7.144,99.639,4,2,2
เกาะหมาก,KoMak,ตราด,Trat,11.81,102.376,12,7,5
ปากตะโก,PakTako,ชุมพร,Chumphon,10.132,99.163,3,2,1
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.702,99.664,246,128,118
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.296,99.247,6,3,3
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.514,99.173,6,4,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.504,99.182,6,4,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.664,99.677,246,128,118
กะรน,Karon,ภูเก็ต,Phuket,7.821,98.285,112,68,44
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.687,99.675,246,128,118
ตะเสะ,Tase,ตรัง,Trang,7.144,99.631,4,2,2
มาบตาพุด,Maptaphut,ระยอง,Rayong,12.648,101.17,115,55,60
ปากคลอง,PakKhlong,ชุมพร,Chumphon,10.865,99.489,1,1,0
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.508,99.173,6,4,2
เกาะลูกไม้,,ตรัง,Trang,7.291,99.45,,,
บ่อหิน,BoHin,ตรัง,Trang,7.549,99.283,8,5,3
บ่อหิน,BoHin,ตรัง,Trang,7.549,99.283,3,2,1
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.77,99.668,246,128,118
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.521,99.711,246,128,118
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.8,99.713,246,128,118
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.426,99.316,7,3,4
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.603,99.715,246,128,118
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.499,99.318,6,4,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.652,99.692,6,4,2
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.646,100.897,146,103,43
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.646,100.897,85,51,34
อ่าวลึกน้อย,AoLuekNoi,กระบี่,Krabi,8.211,98.687,7,4,3
กำพวน,Kamphuan,ระนอง,Ranong,9.5,98.368,201,110,91
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.315,99.66,31,21,10
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.315,99.66,61,29,32
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.257,99.227,6,3,3
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.672,99.681,246,128,118
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.514,99.262,6,4,2
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.2,99.249,6,3,3
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.542,99.673,246,128,118
อ่าวลึกน้อย,AoLuekNoi,กระบี่,Krabi,8.208,98.691,7,4,3
ปากตะโก,PakTako,ชุมพร,Chumphon,10.151,99.204,3,2,1
อ่าวลึกน้อย,AoLuekNoi,กระบี่,Krabi,8.302,98.698,7,4,3
เกาะพยาม,KoPhayam,ระนอง,Ranong,9.877,98.442,117,57,60
อ่าวลึกน้อย,AoLuekNoi,กระบี่,Krabi,8.204,98.69,7,4,3
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.671,99.678,246,128,118
ปากน้ำ,PakNam,ระนอง,Ranong,9.914,98.526,1817,945,872
ปากน้ำ,PakNam,ระนอง,Ranong,9.914,98.526,93,38,55
เทพกระษัตรี,ThepKrasattri,ภูเก็ต,Phuket,8.116,98.425,143,100,43
เทพกระษัตรี,ThepKrasattri,ภูเก็ต,Phuket,8.116,98.425,52,31,21
เกาะพยาม,KoPhayam,ระนอง,Ranong,9.779,98.477,117,57,60
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.771,99.671,246,128,118
ปากน้ำ,PakNam,ระนอง,Ranong,9.926,98.514,1817,945,872
ปากน้ำ,PakNam,ระนอง,Ranong,9.926,98.514,93,38,55
เขาทอง,KhaoThong,กระบี่,Krabi,8.144,98.717,32,19,13
แสมสาร,SamaeSan,ชลบุรี,Chon Buri,12.549,100.971,70,38,32
แหลมสัก,LaemSak,กระบี่,Krabi,8.292,98.616,2,1,1
แหลมสัก,LaemSak,กระบี่,Krabi,8.292,98.616,1,0,1
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.673,99.669,246,128,118
เขาคราม,KhaoKhram,กระบี่,Krabi,8.21,98.729,22,11,11
เกาะแก้ว,KoKaeo,ภูเก็ต,Phuket,7.965,98.451,107,81,26
เกาะเปริด,KoProet,จันทบุรี,Chanthaburi,12.424,102.109,47,17,30
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.548,99.705,6,4,2
ปากคลอง,PakKhlong,ชุมพร,Chumphon,10.823,99.492,1,1,0
ปากตะโก,PakTako,ชุมพร,Chumphon,10.155,99.218,3,2,1
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.488,99.334,6,4,2
นาเกลือ,NaKluea,ชลบุรี,Chon Buri,12.928,100.805,3831,2038,1793
เกาะหมาก,KoMak,ตราด,Trat,11.823,102.385,12,7,5
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.482,99.696,246,128,118
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.676,99.677,246,128,118
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.776,99.672,246,128,118
กร่ำ,Kram,ระยอง,Rayong,12.584,101.51,150,126,24
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.272,99.233,6,3,3
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.556,99.685,246,128,118
อ่าวลึกน้อย,AoLuekNoi,กระบี่,Krabi,8.238,98.708,7,4,3
เขาทอง,KhaoThong,กระบี่,Krabi,8.176,98.735,32,19,13
ตะเสะ,Tase,ตรัง,Trang,7.075,99.394,4,2,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.643,99.694,6,4,2
เขาทอง,KhaoThong,กระบี่,Krabi,8.104,98.682,32,19,13
ปากตะโก,PakTako,ชุมพร,Chumphon,10.071,99.185,3,2,1
บางหิน,BangHin,ระนอง,Ranong,9.595,98.469,69,39,30
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.653,99.833,6,4,2
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.319,99.3,7,3,4
แสมสาร,SamaeSan,ชลบุรี,Chon Buri,12.603,100.917,70,38,32
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.363,99.31,7,3,4
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.249,99.224,6,3,3
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.611,99.7,6,4,2
ราไวย์,Rawai,ภูเก็ต,Phuket,7.767,98.3,388,295,93
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.51,99.705,246,128,118
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.686,99.905,6,4,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.505,99.177,6,4,2
เขาทอง,KhaoThong,กระบี่,Krabi,8.129,98.685,32,19,13
กร่ำ,Kram,ระยอง,Rayong,12.557,101.569,150,126,24
ราไวย์,Rawai,ภูเก็ต,Phuket,7.736,98.296,388,295,93
เกาะลันตาน้อย,KoLantaNoi,กระบี่,Krabi,7.576,99.142,26,11,15
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.331,99.703,31,21,10
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.331,99.703,61,29,32
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.727,100.798,146,103,43
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.727,100.798,85,51,34
อ่าวลึกน้อย,AoLuekNoi,กระบี่,Krabi,8.246,98.704,7,4,3
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.594,99.721,246,128,118
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,9.396,97.895,163,67,96
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.39,99.293,7,3,4
กำพวน,Kamphuan,ระนอง,Ranong,9.457,98.328,201,110,91
นาเกลือ,NaKluea,ชลบุรี,Chon Buri,12.942,100.793,3831,2038,1793
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.612,100.876,146,103,43
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.612,100.876,85,51,34
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.624,100.901,146,103,43
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.624,100.901,85,51,34
อ่าวนาง,AoNang,กระบี่,Krabi,7.616,98.863,207,154,53
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.641,99.675,246,128,118
ตะเสะ,Tase,ตรัง,Trang,7.133,99.583,4,2,2
เกาะพะงัน,KoPha-Ngan,สุราษฎร์ธานี,Surat Thani,9.802,99.979,830,533,297
เกาะพะงัน,KoPha-Ngan,สุราษฎร์ธานี,Surat Thani,9.802,99.979,385,262,123
เกาะหมาก,KoMak,ตราด,Trat,11.835,102.46,12,7,5
บางชัน,BangChan,จันทบุรี,Chanthaburi,12.288,102.251,5,2,3
เขาทอง,KhaoThong,กระบี่,Krabi,8.113,98.707,32,19,13
เกาะลิบง,KoLibong,ตรัง,Trang,7.314,99.408,5,3,2
นาชะอัง,NaCha-Ang,ชุมพร,Chumphon,10.557,99.379,22,10,12
เกาะลันตาน้อย,KoLantaNoi,กระบี่,Krabi,7.561,99.144,26,11,15
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.709,99.671,6,4,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.619,99.689,6,4,2
เขาทอง,KhaoThong,กระบี่,Krabi,8.124,98.669,32,19,13
เขาทอง,KhaoThong,กระบี่,Krabi,8.107,98.688,32,19,13
เกาะเปริด,KoProet,จันทบุรี,Chanthaburi,12.396,102.133,47,17,30
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.665,99.691,6,4,2
ตะเสะ,Tase,ตรัง,Trang,6.975,99.475,4,2,2
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.496,99.421,7,3,4
ปากน้ำ,PakNam,ระนอง,Ranong,9.92,98.535,1817,945,872
ปากน้ำ,PakNam,ระนอง,Ranong,9.92,98.535,93,38,55
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.729,99.66,6,4,2
เกาะหมาก,KoMak,ตราด,Trat,11.808,102.455,12,7,5
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.352,99.683,31,21,10
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.352,99.683,61,29,32
รัษฎา,,ภูเก็ต,Phuket,7.834,98.423,274,165,109
กร่ำ,Kram,ระยอง,Rayong,12.599,101.691,150,126,24
บ่อหิน,BoHin,ตรัง,Trang,7.559,99.288,8,5,3
บ่อหิน,BoHin,ตรัง,Trang,7.559,99.288,3,2,1
เกาะลิบง,KoLibong,ตรัง,Trang,7.38,99.248,5,3,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.732,99.706,6,4,2
แขวงเสาชิงช้า,SaoChingcha,กรุงเทพมหานคร,Bangkok,13.753,100.5,31,18,13
ราไวย์,Rawai,ภูเก็ต,Phuket,7.747,98.301,388,295,93
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,8.519,97.647,163,67,96
แขวงศาลเจ้าพ่อเสือ,SanChaophoSuea,กรุงเทพมหานคร,Bangkok,13.754,100.497,31,20,11
บางกะไชย,BangKachai,จันทบุรี,Chanthaburi,12.463,102.023,18,12,6
แสมสาร,SamaeSan,ชลบุรี,Chon Buri,12.572,100.932,70,38,32
เกาะหมาก,KoMak,ตราด,Trat,11.799,102.451,12,7,5
เขาคราม,KhaoKhram,กระบี่,Krabi,8.217,98.725,22,11,11
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.617,100.881,146,103,43
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.617,100.881,85,51,34
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.376,99.322,7,3,4
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,8.569,97.636,163,67,96
บ่อหิน,BoHin,ตรัง,Trang,7.547,99.279,8,5,3
บ่อหิน,BoHin,ตรัง,Trang,7.547,99.279,3,2,1
เกาะพยาม,KoPhayam,ระนอง,Ranong,9.717,98.423,117,57,60
เกาะพะงัน,KoPha-Ngan,สุราษฎร์ธานี,Surat Thani,9.709,99.973,830,533,297
เกาะพะงัน,KoPha-Ngan,สุราษฎร์ธานี,Surat Thani,9.709,99.973,385,262,123
พรุใน,PhruNai,พังงา,Phang-nga,7.892,98.581,4,1,3
แขวงตลาดยอด,TalatYot,กรุงเทพมหานคร,Bangkok,13.76,100.498,38,22,16
กร่ำ,Kram,ระยอง,Rayong,12.569,101.7,150,126,24
เกาะค้างคาว,,ตรัง,Trang,7.152,99.651,,,
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.323,99.28,7,3,4
อ่าวนาง,AoNang,กระบี่,Krabi,7.821,98.774,207,154,53
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,9.477,97.904,163,67,96
เกาะศรีบอยา,KoSiBoya,กระบี่,Krabi,7.801,98.995,16,10,6
คลองขุด,KhlongKhut,จันทบุรี,Chanthaburi,12.512,101.95,11,6,5
ตะเสะ,Tase,ตรัง,Trang,7.118,99.426,4,2,2
ชุมโค,ChumKho,ชุมพร,Chumphon,10.701,99.41,44,22,22
แขวงวัดราชบพิธ,WatRatchabophit,กรุงเทพมหานคร,Bangkok,13.75,100.499,45,25,20
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.676,100.823,146,103,43
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.676,100.823,85,51,34
เทพกระษัตรี,ThepKrasattri,ภูเก็ต,Phuket,8.108,98.405,143,100,43
เทพกระษัตรี,ThepKrasattri,ภูเก็ต,Phuket,8.108,98.405,52,31,21
เกาะศรีบอยา,KoSiBoya,กระบี่,Krabi,7.869,99.044,16,10,6
ปากตะโก,PakTako,ชุมพร,Chumphon,10.145,99.178,3,2,1
เกาะศรีบอยา,KoSiBoya,กระบี่,Krabi,7.808,98.991,16,10,6
เขาทอง,KhaoThong,กระบี่,Krabi,8.106,98.707,32,19,13
อ่าวนาง,AoNang,กระบี่,Krabi,7.817,98.795,207,154,53
เกาะศรีบอยา,KoSiBoya,กระบี่,Krabi,7.879,99.046,16,10,6
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.446,99.652,246,128,118
ป่าคลอก,PaKhlok,ภูเก็ต,Phuket,8.028,98.461,147,102,45
เขาทอง,KhaoThong,กระบี่,Krabi,8.12,98.678,32,19,13
อ่าวลึกน้อย,AoLuekNoi,กระบี่,Krabi,8.297,98.694,7,4,3
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.783,99.673,246,128,118
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.694,99.858,6,4,2
ท่าข้าม,ThaKham,ตรัง,Trang,7.127,99.699,6,3,3
ท่าข้าม,ThaKham,ตรัง,Trang,7.127,99.699,4,2,2
เกาะพะงัน,KoPha-Ngan,สุราษฎร์ธานี,Surat Thani,9.706,99.948,830,533,297
เกาะพะงัน,KoPha-Ngan,สุราษฎร์ธานี,Surat Thani,9.706,99.948,385,262,123
เกาะกลาง,KoKlang,กระบี่,Krabi,7.746,99.126,7,5,2
เกาะศรีบอยา,KoSiBoya,กระบี่,Krabi,7.847,98.983,16,10,6
แขวงสำราญราษฎร์,SamranRat,กรุงเทพมหานคร,Bangkok,13.751,100.503,50,36,14
บ่อผุด,BoPhut,สุราษฎร์ธานี,Surat Thani,9.539,100.081,720,490,230
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,8.828,97.802,163,67,96
คลองยาง,KhlongYang,กระบี่,Krabi,7.855,99.053,4,2,2
เกาะลันตาใหญ่,KoLantaYai,กระบี่,Krabi,7.496,99.12,32,17,15
เกาะลันตาใหญ่,KoLantaYai,กระบี่,Krabi,7.496,99.12,1,0,1
ตะเสะ,Tase,ตรัง,Trang,7.108,99.428,4,2,2
เขาคราม,KhaoKhram,กระบี่,Krabi,8.217,98.73,22,11,11
เกาะช้าง,KoChang,ตราด,Trat,12.161,102.247,342,191,151
บางเสร่,BangSare,ชลบุรี,Chon Buri,12.761,100.844,194,175,19
บางเสร่,BangSare,ชลบุรี,Chon Buri,12.761,100.844,218,187,31
เกาะพยาม,KoPhayam,ระนอง,Ranong,9.782,98.447,117,57,60
เกาะเปริด,KoProet,จันทบุรี,Chanthaburi,12.409,102.122,47,17,30
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.543,99.261,6,4,2
เกาะพยาม,KoPhayam,ระนอง,Ranong,9.736,98.486,117,57,60
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.667,99.666,246,128,118
เขาทอง,KhaoThong,กระบี่,Krabi,8.101,98.69,32,19,13
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.716,99.887,6,4,2
เกาะพยาม,KoPhayam,ระนอง,Ranong,9.866,98.472,117,57,60
ตลิ่งงาม,TalingNgam,สุราษฎร์ธานี,Surat Thani,9.31,99.892,84,63,21
กร่ำ,Kram,ระยอง,Rayong,12.611,101.687,150,126,24
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.521,99.699,6,4,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.523,99.692,6,4,2
แขวงชนะสงคราม,ChanaSongkhram,กรุงเทพมหานคร,Bangkok,13.762,100.495,13,8,5
เกาะพยาม,KoPhayam,ระนอง,Ranong,9.769,98.464,117,57,60
ตลิ่งงาม,TalingNgam,สุราษฎร์ธานี,Surat Thani,9.314,99.913,84,63,21
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.679,99.681,246,128,118
ราไวย์,Rawai,ภูเก็ต,Phuket,7.76,98.392,388,295,93
นาคา,Nakha,ระนอง,Ranong,9.514,98.36,267,130,137
แขวงสี่แยกมหานาค,SiYaekMahaNak,กรุงเทพมหานคร,Bangkok,13.758,100.517,197,113,84
อ่าวลึกน้อย,AoLuekNoi,กระบี่,Krabi,8.294,98.699,7,4,3
ราไวย์,Rawai,ภูเก็ต,Phuket,7.757,98.331,388,295,93
เกาะลันตาน้อย,KoLantaNoi,กระบี่,Krabi,7.613,99.149,26,11,15
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,9.421,97.83,163,67,96
เกาะหมาก,KoMak,ตราด,Trat,11.774,102.392,12,7,5
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.698,99.841,6,4,2
ตลิ่งงาม,TalingNgam,สุราษฎร์ธานี,Surat Thani,9.37,99.977,84,63,21
นาคา,Nakha,ระนอง,Ranong,9.569,98.384,267,130,137
คลองประสงค์,KhlongPrasong,กระบี่,Krabi,7.972,98.809,6,2,4
แขวงบ้านบาตร,,กรุงเทพมหานคร,Bangkok,13.752,100.507,123,83,40
ราไวย์,Rawai,ภูเก็ต,Phuket,7.485,98.316,388,295,93
ป่าคลอก,PaKhlok,ภูเก็ต,Phuket,8.06,98.446,147,102,45
ปากน้ำ,PakNam,ระนอง,Ranong,9.902,98.512,1817,945,872
ปากน้ำ,PakNam,ระนอง,Ranong,9.902,98.512,93,38,55
คลองยาง,KhlongYang,กระบี่,Krabi,7.833,99.02,4,2,2
แขวงบ้านพานถม,BanPhanThom,กรุงเทพมหานคร,Bangkok,13.762,100.503,69,47,22
รัษฎา,,ภูเก็ต,Phuket,7.829,98.415,274,165,109
ปากน้ำ,PakNam,ระนอง,Ranong,9.931,98.483,1817,945,872
ปากน้ำ,PakNam,ระนอง,Ranong,9.931,98.483,93,38,55
แขวงตลาดน้อย,,กรุงเทพมหานคร,Bangkok,13.734,100.513,126,66,60
แขวงวัดเทพศิรินทร์,,กรุงเทพมหานคร,Bangkok,13.749,100.512,107,59,48
แขวงบางขุนพรหม,BangKhunPhrom,กรุงเทพมหานคร,Bangkok,13.765,100.505,44,24,20
บ้านโขด,BanKhot,ชลบุรี,Chon Buri,13.376,100.99,29,17,12
กำพวน,Kamphuan,ระนอง,Ranong,9.436,98.352,201,110,91
ไม้ฝาด,MaiFat,ตรัง,Trang,7.494,99.302,12,7,5
แขวงวัดโสมนัส,,กรุงเทพมหานคร,Bangkok,13.759,100.511,86,45,41
แสมสาร,SamaeSan,ชลบุรี,Chon Buri,12.521,100.97,70,38,32
แขวงสัมพันธวงศ์,,กรุงเทพมหานคร,Bangkok,13.739,100.511,255,154,101
