tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
สามแยก,SamYaek,ยโสธร,Yasothon,16.217,104.562,6,6,0
แม่กลอง,MaeKlong,ตาก,Tak,16.066,98.834,383,177,206
หนองแหน,NongNae,ฉะเชิงเทรา,Chachoengsao,13.661,101.335,21,11,10
บ้านเพิ่ม,BanPhoem,เลย,Loei,17.1,101.938,8,5,3
บ้านเพชร,BanPhet,ชัยภูมิ,Chaiyaphum,15.434,101.697,7,6,1
บ้านเพชร,BanPhet,ชัยภูมิ,Chaiyaphum,15.434,101.697,8,4,4
โนนเปือย,NonPueai,ยโสธร,Yasothon,16.011,104.387,4,3,1
โนนเปือย,NonPueai,ยโสธร,Yasothon,16.011,104.387,0,0,0
ในเมือง,NaiMueang,สุโขทัย,Sukhothai,17.326,99.878,7,4,3
ไทรทอง,SaiThong,สระแก้ว,Sa kaeo,13.614,102.309,14,5,9
ตะเคียนเตี้ย,TakhianTia,ชลบุรี,Chon Buri,13.002,101.015,92,62,30
ตะเคียนเตี้ย,TakhianTia,ชลบุรี,Chon Buri,13.002,101.015,0,0,0
ดงสุวรรณ,DongSuwan,พะเยา,Phayao,19.242,100.053,13,6,7
หนองขาม,NongKham,ชัยภูมิ,Chaiyaphum,16.164,102.194,4,3,1
อาฮี,AHi,เลย,Loei,17.636,101.347,231,76,155
ตะคร้ำเอน,TakhramEn,กาญจนบุรี,Kanchanaburi,13.992,99.744,155,78,77
ตะคร้ำเอน,TakhramEn,กาญจนบุรี,Kanchanaburi,13.992,99.744,37,16,21
น้ำหมาน,NamMan,เลย,Loei,17.525,101.646,8,5,3
ต้นธงชัย,TonThongChai,ลำปาง,Lampang,18.39,99.485,55,37,18
สบเตี๊ยะ,SopTia,เชียงใหม่,Chiang Mai,18.352,98.668,33,17,16
หินกอง,HinKong,ราชบุรี,Ratchaburi,13.565,99.705,95,42,53
นาพญา,NaPhaya,ชุมพร,Chumphon,9.872,99.12,3,1,2
ไพศาล,Phaisan,บุรีรัมย์,Buri Ram,14.662,103.208,23,19,4
สีคิ้ว,Sikhio,นครราชสีมา,Nakhon Ratchasima,14.905,101.687,9,4,5
สีคิ้ว,Sikhio,นครราชสีมา,Nakhon Ratchasima,14.905,101.687,27,12,15
ป่าโมง,PaMong,อุบลราชธานี,Ubon Ratchathani,14.961,104.976,3,3,0
